"nchildren" "numTrts" "agecat" "endInterval" "itnvillCombo" "pvfever500"
"1" 9 9 0 9 1 5
"2" 8 8 1 9 1 3
"3" 2 1 2 9 1 0
"4" 6 7 3 9 1 2
"5" 3 2 4 9 1 0
"6" 10 9 0 10 1 3
"7" 12 10 1 10 1 3
"8" 7 5 2 10 1 2
"9" 2 2 3 10 1 1
"10" 9 6 4 10 1 2
"11" 8 5 0 11 1 4
"12" 14 5 1 11 1 4
"13" 15 7 2 11 1 4
"14" 3 2 3 11 1 0
"15" 11 7 4 11 1 3
"16" 10 10 0 12 1 2
"17" 17 22 1 12 1 9
"18" 17 22 2 12 1 4
"19" 10 8 3 12 1 0
"20" 10 10 4 12 1 2
"21" 2 3 5 12 1 0
"22" 6 6 0 13 1 2
"23" 15 19 1 13 1 6
"24" 19 20 2 13 1 7
"25" 13 12 3 13 1 2
"26" 6 5 4 13 1 0
"27" 6 11 5 13 1 0
"28" 4 6 0 14 1 0
"29" 11 10 1 14 1 4
"30" 19 15 2 14 1 4
"31" 19 13 3 14 1 2
"32" 4 3 4 14 1 1
"33" 10 13 5 14 1 2
"34" 2 3 0 15 1 0
"35" 8 6 1 15 1 1
"36" 20 19 2 15 1 3
"37" 13 11 3 15 1 4
"38" 11 9 4 15 1 1
"39" 10 10 5 15 1 1
"40" 2 0 6 15 1 0
"41" 5 1 1 16 1 0
"42" 15 12 2 16 1 3
"43" 19 8 3 16 1 4
"44" 14 9 4 16 1 0
"45" 4 2 5 16 1 0
"46" 9 6 6 16 1 0
"47" 28 20 0 9 2 6
"48" 21 13 1 9 2 3
"49" 11 9 2 9 2 3
"50" 19 19 3 9 2 8
"51" 5 4 4 9 2 1
"52" 22 14 0 10 2 9
"53" 28 11 1 10 2 5
"54" 12 7 2 10 2 3
"55" 16 11 3 10 2 5
"56" 15 7 4 10 2 0
"57" 15 6 0 11 2 7
"58" 29 12 1 11 2 5
"59" 14 6 2 11 2 5
"60" 14 13 3 11 2 5
"61" 21 9 4 11 2 5
"62" 2 0 5 11 2 0
"63" 10 6 0 12 2 3
"64" 30 31 1 12 2 22
"65" 22 11 2 12 2 6
"66" 13 9 3 12 2 8
"67" 18 17 4 12 2 4
"68" 8 5 5 12 2 1
"69" 7 4 0 13 2 3
"70" 25 23 1 13 2 10
"71" 21 24 2 13 2 8
"72" 13 17 3 13 2 3
"73" 17 13 4 13 2 3
"74" 13 13 5 13 2 0
"75" 3 3 0 14 2 3
"76" 20 15 1 14 2 10
"77" 26 19 2 14 2 7
"78" 14 9 3 14 2 1
"79" 15 18 4 14 2 5
"80" 17 15 5 14 2 4
"81" 2 1 6 14 2 0
"82" 1 1 0 15 2 1
"83" 10 8 1 15 2 6
"84" 30 15 2 15 2 8
"85" 19 11 3 15 2 4
"86" 12 6 4 15 2 2
"87" 18 10 5 15 2 3
"88" 6 4 6 15 2 1
"89" 5 1 1 16 2 0
"90" 26 10 2 16 2 1
"91" 22 15 3 16 2 2
"92" 14 10 4 16 2 1
"93" 16 7 5 16 2 0
"94" 13 8 6 16 2 0
"95" 25 31 0 9 3 7
"96" 11 11 1 9 3 0
"97" 13 18 2 9 3 1
"98" 9 11 3 9 3 3
"99" 1 1 4 9 3 0
"100" 18 19 0 10 3 3
"101" 18 15 1 10 3 1
"102" 13 4 2 10 3 0
"103" 9 7 3 10 3 1
"104" 4 5 4 10 3 0
"105" 9 7 0 11 3 4
"106" 24 17 1 11 3 2
"107" 12 7 2 11 3 0
"108" 9 3 3 11 3 1
"109" 8 3 4 11 3 0
"110" 2 2 0 12 3 0
"111" 26 23 1 12 3 3
"112" 11 9 2 12 3 1
"113" 13 15 3 12 3 2
"114" 9 10 4 12 3 0
"115" 2 1 5 12 3 0
"116" 22 20 1 13 3 7
"117" 15 13 2 13 3 2
"118" 11 8 3 13 3 2
"119" 12 9 4 13 3 0
"120" 3 3 5 13 3 0
"121" 8 10 1 14 3 2
"122" 25 23 2 14 3 5
"123" 11 7 3 14 3 2
"124" 12 12 4 14 3 3
"125" 6 2 5 14 3 1
"126" 2 3 1 15 3 0
"127" 25 14 2 15 3 1
"128" 11 11 3 15 3 1
"129" 13 8 4 15 3 0
"130" 10 11 5 15 3 1
"131" 1 1 6 15 3 0
"132" 19 12 2 16 3 0
"133" 16 10 3 16 3 1
"134" 13 5 4 16 3 0
"135" 10 5 5 16 3 1
"136" 4 1 6 16 3 0
"137" 5 3 0 9 4 2
"138" 1 0 1 9 4 0
"139" 2 1 3 9 4 0
"140" 5 3 0 10 4 1
"141" 1 0 1 10 4 0
"142" 2 2 4 10 4 0
"143" 4 3 0 11 4 2
"144" 2 1 1 11 4 1
"145" 2 2 4 11 4 0
"146" 1 1 0 12 4 1
"147" 4 6 1 12 4 0
"148" 1 0 2 12 4 0
"149" 2 1 4 12 4 0
"150" 5 5 1 13 4 2
"151" 1 0 2 13 4 0
"152" 2 2 5 13 4 0
"153" 4 5 1 14 4 4
"154" 2 2 2 14 4 0
"155" 2 2 5 14 4 0
"156" 5 5 2 15 4 2
"157" 1 0 3 15 4 0
"158" 2 1 5 15 4 0
"159" 5 5 2 16 4 0
"160" 1 1 3 16 4 0
"161" 1 1 5 16 4 0
"162" 1 1 6 16 4 0
